,tweet
67,"['sale', 'sale', 'sale', 'hoodie', 'jumper', 'by', 'top', 'ten', 'size', 'm', 'ld116p68', 'warna', 'pekat', 'like', 'new', 'harga', '115k', 'aja', 'freeong', 'in', 'shopee']"
68,"['rentan', 'bgt', 'data', 'indonesia', 'valid']"
69,"['tuh', 'bocor', 'nambalnya', 'pake', 'sih', 'dah', 'coba', 'aquaproof', 'coba', 'dah', 'jamin', 'no', 'wahid']"
70,"['pasar', 'ya', 'gaes', 'ya', 'menkominfo', 'idiot']"
71,"['bentar', 'viral', 'pasti', 'bocor', '13m', 'simcard', 'bocor', 'anget', 'banget', 'jam', '01', 'data', 'ijasah', 'lengkat', 'ktp', 'akta', 'kk', 'jual', '100']"
72,"['kasih', 'tau', 'bang', 'badeur', 'banget', 'bocah', 'yak', 'gw', 'mah', 'kalo', 'data', 'bocor', 'tinggal', 'kasih', 'aquaproof', 'aja', 'beres', 'genteng', 'rumah', 'gw', 'dah', 'ga', 'bocor', 'alhamdulilah', 'aman', 'dah', 'cobain', 'dah']"
73,"['bangsat', 'laku', 'toko']"
74,"['harga', 'minyak', 'dunia', 'terjun', 'bebas', 'harga', 'bbm', 'nasional', 'roket', 'hacker', 'dunia', 'iseng', 'data', 'nasional', 'ludes', 'rakyatmenjerit']"
75,"['sale', 'sale', 'sale', 'crewneck', 'rajut', 'by', 'uniqlo', 'size', 'm', 'ld', '126p', '65', 'full', 'rajut', 'kepang', 'accent', 'kepang', 'like', 'new', 'sale', '99k', 'freeongkir', 'in', 'shopee']"
76,"['ya', 'negara', 'konoha', 'kerja', 'orang', 'tomlol', 'gak', 'teknologi']"
77,"['situs', 'forum', 'hacker', 'jual', 'data']"
78,"['hati', 'hati', 'no', 'tipu', 'modus', 'kirim', 'barang', 'akun', 'fake', 'belanja', 'toko', 'dgn', 'alamat', 'tuju', 'acak', 'dr', 'toko', 'belah', 'cod']"
79,"['bilang', 'data', 'bocor', 'lo', 'selesai', 'lo', 'yg', 'wajib', 'kasih', 'data', 'data', 'bocor', 'dasar', 'kate', 'ente', 'suka', 'ngandi', 'ente', 'nih', 'kadang', 'gak', 'ngotak', 'cc', 'ri']"
